"Series number,""Start time"",""End time"",""Answer duration"",""User ID"",""WeChat ID"",""User-defined field"",""1.Age"",""2.Gender"",""3.Education"",""3.Education (Other)"",""4.Country"",""4.Country (Other)"",""5.Work"",""5.Work (Other)"",""6.FR concept"",""7.sources: prinnt media "",""7.sources: Internet"",""7.sources: scientific paper"",""7.sources: conversations"",""7.sources: class"",""7.sources: (Other)"",""7.sources: (Other)"",""8.unlock: Swipe"",""8.unlock: Passwords"",""8.unlock: Pattern"",""8.unlock: Finger prints"",""8.unlock: FaceID"",""8.unlock: Nothing"",""8.unlock: (Other)"",""8.unlock: (Other)"",""9.Use FaceID"",""9.Use FaceID (Other)"",""10.Not use FaceID (Other)"",""11.FR using status"",""12.Opinions of statement"",""13.Attitudes of statement"",""14.(1)Policing investigation"",""14.(2) Daily policing"",""14.(3) Smartphone"",""14.(4) Airport"",""14.(5) Supermarket: buy alcohol"",""14.(6) Supermarket: track shopper "",""14.(7) School: student attendance"",""14.(8) School: student behaviour"",""14.(10) Public transport: ticket barriers"",""14.(11) Public transport: indentify people for police"",""14.(12) At work: high risk area"",""14.(13) At work: monitor people"",""14.(14) Massive events"",""14.(15) Apartment building"",""15.Attitudes for police using FRT"",""16.Opinions for police using FR"",""17.Agree: society"",""17.Agree: personal security"",""17.Agree: security system"",""17.Agree: opt out or consent"",""17.Agree: ethical"",""17.Agree: not misused or hacked"",""17.Agree: indiscriminate"",""17.Agree: accurate"",""17.Agree: reliable"",""17.Agree: no effect"",""17.Agree: I do not know"",""17.Agree: none"",""17.Agree: (Other)"",""17.Agree: (Other)"",""18.Disagree: privacy"",""18.Disagree: normalization"",""18.Disagree: no opt out or consent"",""18.Disagree: not ethical"",""18.Disagree: personal privacy"",""18.Disagree: misused or hacked"",""18.Disagree: discriminate"",""18.Disagree: not accurate"",""18.Disagree: not reliable"",""18.Disagree: personal effect"",""18.Disagree: I do not know"",""18.Disagree: none"",""18.Disagree: (Other)"",""18.Disagree: (Other)"",""19.Feel safer"",""20.Identify criminals"",""21.Prevent crimes"",""22.Deter terrorists"",""23.Crime evidence"",""24.No notifying"",""25.Attitudes now"",""26.Future"",""27.Comments"","
"69,""25-Oct-2019 14:49:59"",""25-Oct-2019 14:54:05"",""246"","""",""o86_0jlVEEOvt3L5zlNhoL5NGOq8___夜猫子"","""",""2"",""2"",""1"","""",""5"","""",""9"","""",""2"","""",""1"","""",""1"",""1"","""","""","""",""1"","""","""","""","""","""","""",""1"","""",""8"","""",""2"",""1"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""3"",""1"","""","""",""1"","""",""1"","""",""1"","""","""","""","""","""","""",""1"","""",""1"","""",""1"",""1"","""",""1"","""","""","""","""","""","""",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""很好"","
"70,""25-Oct-2019 14:53:49"",""25-Oct-2019 14:56:02"",""133"","""",""o86_0juXGOG9FCA4J3DN7cAJcEyI___大件运输【盛百机械】133520566"","""",""2"",""2"",""3"","""",""3"","""",""2"","""",""2"","""",""1"","""",""1"","""","""","""","""",""1"",""1"",""1"",""1"","""","""","""",""3"","""",""4"","""",""2"",""3"",""3"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""3"",""2"",""1"","""","""","""",""1"","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"",""2"",""2"",""2"",""2"",""3"",""2"",""2"",""可以更安全"","
"71,""25-Oct-2019 15:01:35"",""25-Oct-2019 15:04:22"",""167"","""",""o86_0jjke-P5anD15pBPA9Lyd9JU___景臣"","""",""2"",""1"",""1"","""",""3"","""",""2"","""",""3"","""","""","""",""1"","""","""","""",""1"","""","""","""","""","""","""","""",""5"","""",""6"","""",""3"",""3"",""3"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""3"",""2"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""1"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""可以更安全"","
"72,""25-Oct-2019 14:57:11"",""25-Oct-2019 15:07:07"",""596"","""",""o86_0jj-kdJzRdNNN6HWWRWakTW4___???? 不食人间烟火！"","""",""2"",""2"",""3"","""",""3"","""",""10"","""",""2"","""",""1"","""","""","""","""","""","""",""1"","""",""1"","""","""","""","""",""4"","""",""1"","""",""2"",""2"",""4"",""2"",""2"",""2"",""2"",""2"",""4"",""2"",""4"",""2"",""2"",""2"",""4"",""2"",""2"",""3"",""2"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""1"",""1"",""1"","""",""1"",""1"","""","""","""","""","""",""2"",""2"",""2"",""2"",""4"",""2"",""2"",""3"",""我觉得人脸识别还不够精准，技术有待提高，因为我朋友手机人脸识别，她女儿用她手机识别自己的脸也打开了，还是不够精准"","
"73,""25-Oct-2019 15:04:19"",""25-Oct-2019 15:08:47"",""268"",""2908792873"","""","""",""1"",""2"",""3"","""",""3"","""",""3"","""",""2"","""",""1"","""","""","""","""","""","""",""1"","""","""","""","""","""","""",""5"","""",""3"","""",""4"",""3"",""2"",""1"",""1"",""2"",""1"",""4"",""4"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""1"",""2"",""3"",""2"",""3"",""3"",""2"",""1"",""希望安全性越来越大"","
"74,""25-Oct-2019 15:07:49"",""25-Oct-2019 15:13:33"",""344"","""",""o86_0jkak4LJpP0VElr-m2_euRX0___从零开始"","""",""2"",""2"",""2"","""",""3"","""",""13"","""",""2"","""",""1"","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""3"","""",""8"","""",""4"",""1"",""3"",""2"",""4"",""2"",""2"",""2"",""4"",""2"",""2"",""2"",""2"",""4"",""4"",""4"",""4"",""3"",""2"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""",""3"",""2"",""2"",""2"",""2"",""3"",""1"",""2"",""保持中立"","
"75,""25-Oct-2019 15:24:00"",""25-Oct-2019 15:27:57"",""237"","""",""o86_0jskqLQtBwA55zooatfAC7lw___精彩段sir"","""",""1"",""1"",""1"","""",""3"","""",""2"","""",""1"","""","""","""","""","""",""1"",""手机人脸解锁"","""","""","""","""","""","""",""1"","""",""4"","""",""8"","""",""2"",""2"",""1"",""4"",""4"",""2"",""2"",""4"",""2"",""4"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""2"",""2"",""3"",""4"",""2"",""4"",""4"",""3"",""。。"","
"76,""25-Oct-2019 16:16:30"",""25-Oct-2019 16:22:50"",""380"","""",""o86_0jgXdWtHaeU-DUB811RmUuqk___果果????????"","""",""2"",""2"",""3"","""",""3"","""",""5"","""",""2"",""1"",""1"","""","""","""",""1"",""办公"","""",""1"","""","""","""","""","""","""",""4"","""",""3"","""",""3"",""3"",""2"",""2"",""2"",""4"",""2"",""2"",""3"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""3"",""3"",""2"","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""",""3"",""2"",""2"",""2"",""2"",""3"",""2"",""2"",""让更多人了解"","
"77,""25-Oct-2019 20:47:15"",""25-Oct-2019 20:53:59"",""404"","""",""o86_0jjFyj4mCo4-PqvERlsP3gf8___Erebus"","""",""1"",""2"",""4"","""",""4"","""",""3"","""",""2"","""",""1"",""1"",""1"","""","""","""","""",""1"",""1"",""1"","""","""","""","""",""4"","""",""3"","""",""2"",""1"",""2"",""1"",""2"",""4"",""1"",""3"",""2"",""3"",""2"",""2"",""1"",""1"",""2"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""",""1"",""1"",""1"","""","""",""1"",""1"","""","""","""","""","""","""","""",""1"",""1"",""2"",""2"",""1"",""3"",""2"",""2"",""使用趋势不可避免，可以有效的协助警察保障公众安全，但是又会担心被他人盗用，用作违法犯罪"","
"78,""25-Oct-2019 20:13:00"",""25-Oct-2019 20:58:55"",""2755"","""",""o86_0jl5AboOb5LtdmzjKJll_27s___云淡风轻"","""",""3"",""2"",""2"","""",""3"","""",""10"","""",""4"","""",""1"","""","""","""","""","""","""","""","""",""1"","""","""","""","""",""1"","""",""6"","""",""4"",""1"",""4"",""1"",""1"",""2"",""2"",""1"",""1"",""2"",""2"",""2"",""1"",""1"",""2"",""1"",""2"",""1"",""2"","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""",""1"",""2"",""2"",""2"",""1"",""3"",""1"",""2"",""可能会给人带来方便"","
"79,""25-Oct-2019 21:02:17"",""25-Oct-2019 21:06:53"",""276"","""",""o86_0jm2ah-UaXQNVffKoGcEOUEU___大米"","""",""1"",""2"",""5"","""",""3"","""",""1"","""",""1"","""",""1"","""","""",""1"","""","""","""",""1"","""",""1"","""","""","""","""",""4"","""",""3"","""",""2"",""1"",""3"",""2"",""4"",""2"",""2"",""4"",""4"",""5"",""5"",""4"",""2"",""2"",""5"",""4"",""4"",""3"",""3"",""1"",""1"",""1"",""1"","""",""1"",""1"","""","""","""","""","""","""","""","""",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""",""1"",""2"",""4"",""2"",""4"",""4"",""3"",""3"",""隐私和安全孰轻孰重的问题，我也觉得很纠结，无法只选一个。只能看情况使用。"","
"80,""25-Oct-2019 21:11:21"",""25-Oct-2019 21:13:58"",""157"","""",""o86_0jne1JR8Wn0UsAzOnlMLPLuw___kings.T???? ???? ??"","""",""2"",""2"",""4"","""",""3"","""",""3"","""",""2"","""","""",""1"","""","""","""","""","""","""",""1"","""","""","""","""","""",""4"","""",""7"","""",""2"",""2"",""1"",""2"",""3"",""1"",""1"",""2"",""2"",""3"",""4"",""2"",""1"",""1"",""2"",""2"",""2"",""2"",""1"",""1"","""",""1"","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""1"",""1"",""1"",""2"",""2"",""2"",""2"",""2"",""人脸识别可以代替和减缓运营压力"","
"81,""25-Oct-2019 21:11:45"",""25-Oct-2019 21:14:05"",""140"","""",""o86_0jjDeO9O40VrJIK3dQ1dHstk___麦堡堡"","""",""1"",""2"",""4"","""",""3"","""",""6"","""",""3"","""",""1"","""","""","""","""","""",""1"",""1"","""","""",""1"","""","""","""",""1"","""",""3"","""",""4"",""3"",""1"",""1"",""2"",""2"",""2"",""2"",""2"",""4"",""4"",""4"",""1"",""1"",""1"",""2"",""4"",""4"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""",""3"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""有一定风险"","
"82,""25-Oct-2019 21:11:32"",""25-Oct-2019 21:14:12"",""160"","""",""o86_0jk0cqXfy7A0EkYYnWcavRa8___76????????????"","""",""1"",""2"",""3"","""",""3"","""",""6"","""",""2"",""1"",""1"","""",""1"",""1"","""","""","""","""","""","""",""1"","""","""","""",""5"","""",""4"","""",""4"",""1"",""2"",""2"",""3"",""2"",""2"",""3"",""3"",""3"",""3"",""2"",""2"",""2"",""3"",""2"",""2"",""4"",""2"",""1"",""1"",""1"",""1"","""","""",""1"","""","""","""","""","""","""","""","""",""1"",""1"",""1"","""",""1"",""1"",""1"",""1"","""","""","""","""","""",""1"",""2"",""4"",""3"",""2"",""3"",""3"",""2"",""无"","
"83,""25-Oct-2019 21:10:28"",""25-Oct-2019 21:15:05"",""277"","""",""o86_0jtRNK7S2YjmziNZdaN-Ap0A___潇琪"","""",""1"",""2"",""3"","""",""3"","""",""8"","""",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""k"","""",""1"","""","""",""1"","""","""","""",""6"","""",""3"","""",""2"",""1"",""3"",""2"",""3"",""2"",""2"",""2"",""4"",""3"",""3"",""2"",""2"",""2"",""4"",""2"",""2"",""3"",""3"",""1"",""1"",""1"",""1"","""","""",""1"",""1"","""","""","""","""","""","""",""1"",""1"",""1"","""",""1"",""1"",""1"","""","""",""1"","""","""","""","""",""3"",""3"",""3"",""2"",""3"",""3"",""2"",""4"",""不喜欢在支付过程中使用人脸识别技术，在一些公开场合也不喜欢，感觉隐私被侵犯"","
"84,""25-Oct-2019 21:13:48"",""25-Oct-2019 21:17:22"",""214"","""",""o86_0jhFXBQOT-OjoeXdV3ZkJYng___RabbiT"","""",""1"",""2"",""4"","""",""3"","""",""8"","""",""2"",""1"",""1"","""","""",""1"","""","""","""","""","""","""",""1"","""","""","""",""4"","""",""3"","""",""4"",""2"",""3"",""1"",""1"",""2"",""2"",""3"",""2"",""4"",""4"",""3"",""1"",""1"",""5"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""",""1"","""",""1"","""","""",""1"","""","""","""","""","""","""","""","""","""",""1"",""1"","""","""","""","""","""","""","""",""1"",""2"",""1"",""1"",""1"",""1"",""2"",""1"",""希望能有法律和公众道德底线共同监管，使人脸识别技术更好地造福人类"","
"85,""25-Oct-2019 21:00:13"",""25-Oct-2019 21:18:28"",""1095"",""873742144"","""","""",""1"",""2"",""5"","""",""3"","""",""1"","""",""2"","""",""1"",""1"",""1"","""","""","""","""",""1"","""",""1"",""1"","""","""","""",""5"","""",""1"","""",""2"",""1"",""3"",""1"",""2"",""2"",""1"",""4"",""5"",""5"",""5"",""2"",""2"",""1"",""5"",""2"",""2"",""2"",""2"",""1"",""1"",""1"","""","""","""",""1"","""","""","""","""","""","""","""","""","""",""1"",""1"","""","""","""",""1"","""","""","""","""","""","""",""3"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""No comments"","
"86,""25-Oct-2019 21:13:53"",""25-Oct-2019 21:18:55"",""302"","""",""o86_0ji5hr3Mg7F9ebvfkfAClvQY___我心飞扬17695864377"","""",""3"",""2"",""3"","""",""3"","""",""10"","""",""4"","""","""","""","""","""",""1"","""","""",""1"",""1"","""","""","""","""","""",""6"","""",""2"","""",""5"",""3"",""3"",""2"",""2"",""3"",""2"",""3"",""3"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""人脸识别术特别像的可能可以盗取"","
"87,""25-Oct-2019 21:16:35"",""25-Oct-2019 21:19:21"",""166"","""",""o86_0jls87CXv_Glj3Dl5Ayzlz94___菜pp????"","""",""1"",""1"",""4"","""",""3"","""",""2"","""",""2"","""",""1"","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""5"","""",""4"","""",""3"",""3"",""3"",""1"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""",""3"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""暂无评论"","
"88,""25-Oct-2019 21:17:46"",""25-Oct-2019 21:20:17"",""151"","""",""o86_0jpsx4XVNiUYH5NJ1F41fiKo___????"","""",""1"",""2"",""3"","""",""3"","""",""6"","""",""4"",""1"",""1"","""","""","""","""","""","""","""","""",""1"","""","""","""","""",""2"","""",""3"","""",""4"",""2"",""3"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""3"",""1"",""1"",""1"",""3"",""1"",""1"",""1"","""","""","""",""1"","""","""","""","""","""","""","""","""",""1"","""","""","""",""1"","""","""","""","""","""","""","""","""","""",""3"",""2"",""2"",""1"",""3"",""2"",""1"",""1"",""赞成支持"","
"89,""25-Oct-2019 21:14:13"",""25-Oct-2019 21:20:39"",""386"","""",""o86_0jr8FQG_OSlwcXs2y9bR4DUE___静得&彧"","""",""1"",""1"",""3"","""",""3"","""",""2"","""",""2"","""",""1"","""","""","""",""1"",""支付，手机"","""","""",""1"",""1"",""1"","""","""","""",""4"","""",""4"","""",""2"",""3"",""3"",""2"",""2"",""2"",""1"",""1"",""4"",""2"",""3"",""1"",""2"",""1"",""3"",""1"",""1"",""2"",""2"",""1"",""1"",""1"","""",""1"",""1"","""",""1"",""1"",""1"","""","""","""","""","""","""","""",""1"","""",""1"",""1"",""1"",""1"","""","""","""","""","""",""1"",""2"",""2"",""2"",""2"",""3"",""3"",""2"",""大众并不知道人脸识别在具体行为上，具体用法上怎么操作的，是否会存在侵犯的情况"","
"90,""25-Oct-2019 21:14:46"",""25-Oct-2019 21:22:48"",""482"","""",""o86_0jtHQhO3F2p16KdPai3FqGgE___Ursus bungeanum"","""",""1"",""1"",""3"","""",""3"","""",""3"","""",""2"","""",""1"","""",""1"",""1"","""","""","""","""",""1"",""1"","""","""","""","""",""8"",""安全刷脸解锁的手机是刘海屏，不喜欢"",""3"","""",""2"",""1"",""3"",""1"",""2"",""3"",""1"",""2"",""4"",""2"",""4"",""3"",""1"",""1"",""4"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""1"",""2"",""2"",""2"",""3"",""3"",""2"",""2"",""人脸识别的数据感觉不被自己掌握有点膈应，但是也没办法"","
"91,""25-Oct-2019 21:17:24"",""25-Oct-2019 21:24:42"",""438"","""",""o86_0jms6jAdTZ8p3lZQuSoo_gXk___Ciao"","""",""1"",""1"",""3"","""",""5"",""日本"",""1"","""",""2"","""",""1"","""",""1"",""1"","""","""","""",""1"","""",""1"","""","""","""","""",""6"","""",""8"",""指纹已经很好用了"",""2"",""1"",""1"",""1"",""3"",""3"",""2"",""3"",""5"",""2"",""5"",""3"",""1"",""2"",""5"",""2"",""3"",""3"",""2"",""1"",""1"","""",""1"",""1"","""","""","""","""","""","""","""","""","""",""1"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""",""3"",""2"",""2"",""2"",""1"",""3"",""3"",""2"",""技术本无罪，善恶掌握在使用者的一念之间。希望在推广技术的同时也能同步推出对技术的监督机制。"","
"92,""25-Oct-2019 21:21:30"",""25-Oct-2019 21:26:10"",""280"","""",""o86_0jjWSJ6kOXMAc-sdHXIVkqr0___wox"","""",""2"",""1"",""3"","""",""3"","""",""2"","""",""2"","""",""1"",""1"",""1"",""1"","""","""","""",""1"","""",""1"","""","""","""","""",""7"","""",""3"","""",""4"",""1"",""4"",""1"",""3"",""4"",""3"",""4"",""4"",""4"",""5"",""4"",""2"",""4"",""4"",""2"",""4"",""2"",""2"","""",""1"",""1"",""1"","""","""","""",""1"",""1"","""","""","""","""","""",""1"","""",""1"","""",""1"",""1"",""1"","""","""","""","""","""","""","""",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""3"",""无"","
"93,""25-Oct-2019 21:18:04"",""25-Oct-2019 21:26:25"",""501"","""",""o86_0jm2n0ylsu1nws0UY_FeTwFU___陶思年要朝乾夕惕"","""",""1"",""1"",""3"","""",""3"","""",""13"",""学生（本科四年级）"",""2"",""1"","""",""1"",""1"",""1"",""1"",""支付宝刷脸支付"","""",""1"","""",""1"","""","""","""","""",""5"","""",""6"","""",""4"",""2"",""3"",""1"",""1"",""1"",""1"",""1"",""4"",""2"",""5"",""1"",""1"",""1"",""1"",""2"",""2"",""1"",""1"",""1"","""",""1"",""1"","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""3"",""2"",""4"",""1"",""1"",""2"",""2"",""1"",""无"","
"94,""25-Oct-2019 21:24:41"",""25-Oct-2019 21:27:34"",""173"","""",""o86_0jo17kMdyLdqzCOB0iLWvdi8___穿裙裙の姜饼人"","""",""1"",""2"",""3"","""",""3"","""",""4"","""",""2"","""",""1"","""","""",""1"","""","""",""1"",""1"",""1"",""1"","""","""","""","""",""3"","""",""6"","""",""2"",""1"",""2"",""1"",""1"",""3"",""1"",""1"",""2"",""2"",""2"",""2"",""1"",""1"",""2"",""1"",""1"",""2"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"",""1"","""","""","""",""1"",""1"",""1"",""1"",""1"",""2"",""2"",""1"",""加强人脸识别的精确度"","
"95,""25-Oct-2019 21:24:47"",""25-Oct-2019 21:32:22"",""455"","""",""o86_0jrLmm9Xl7td642xDTZBtHuw___学文"","""",""3"",""2"",""3"","""",""3"","""",""3"","""",""5"","""",""1"","""","""","""","""","""",""1"",""1"","""","""",""1"","""",""1"","""",""1"","""",""6"","""",""4"",""5"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""","""","""","""",""1"",""1"","""",""1"","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""1"",""2"",""2"",""2"",""2"",""3"",""2"",""2"",""技术好"","
"96,""25-Oct-2019 21:26:32"",""25-Oct-2019 21:32:35"",""363"","""",""o86_0jiQzZg9cLI-0NQT9mNPBUh8___Queena邱小小"","""",""2"",""2"",""4"","""",""3"","""",""3"","""",""2"","""",""1"","""",""1"","""","""","""","""",""1"",""1"",""1"","""","""","""","""",""6"","""",""3"","""",""4"",""1"",""3"",""1"",""3"",""4"",""2"",""3"",""5"",""4"",""4"",""4"",""2"",""2"",""5"",""4"",""4"",""2"",""2"",""1"","""",""1"","""",""1"",""1"","""",""1"",""1"","""","""","""","""","""",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""",""3"",""1"",""2"",""1"",""2"",""3"",""2"",""1"",""对人脸识别技术本身是科技的进步，但在使用过程中存在太多的人为因素和主观因素在某种程度上会带来不必要的风险和麻烦因此如何更好地将这项技术应用在刀刃上会是技术使用过程中非常困难也非常值得商榷的问题。在某种程度上这已经不仅仅只是科技的问题它还可能包含法律和道德层面所以呃人脸识别的底线在哪里使用这项技术的，道德和法律底线如果不加以完善和明确的话对于技术的滥用可能也会带来一系列的问题"","
"97,""25-Oct-2019 21:35:34"",""25-Oct-2019 21:39:45"",""251"","""",""o86_0jnPiIbdgzbXCZZi_qOb3EA0___保羞涩"","""",""1"",""2"",""5"","""",""3"","""",""13"",""科研"",""2"","""",""1"","""","""","""","""","""","""","""",""1"",""1"","""","""","""","""",""6"","""",""5"","""",""5"",""1"",""5"",""1"",""2"",""2"",""1"",""1"",""1"",""2"",""2"",""2"",""1"",""1"",""2"",""1"",""2"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""无"","
"98,""25-Oct-2019 21:31:33"",""25-Oct-2019 21:40:52"",""559"","""",""o86_0jiGJAoJO5w-8H8kFtudiSJ4___         "","""",""1"",""2"",""4"","""",""3"","""",""8"","""",""2"","""",""1"","""",""1"",""1"","""","""","""",""1"",""1"",""1"",""1"","""","""","""",""6"","""",""6"","""",""2"",""4"",""3"",""1"",""3"",""3"",""1"",""1"",""2"",""4"",""4"",""4"",""2"",""4"",""5"",""2"",""3"",""2"",""1"",""1"",""1"",""1"","""",""1"",""1"",""1"","""",""1"","""","""","""","""","""","""","""",""1"","""","""",""1"",""1"","""",""1"",""1"","""","""","""","""",""1"",""1"",""4"",""1"",""2"",""1"",""1"",""1"",""没有"","
"99,""25-Oct-2019 21:39:16"",""25-Oct-2019 21:43:27"",""251"","""",""o86_0jmAdqZJVXVCgbJ3gxE_XzMM___F"","""",""1"",""1"",""3"","""",""3"","""",""8"","""",""4"",""1"",""1"","""",""1"",""1"","""","""","""",""1"","""","""","""","""","""","""",""3"","""",""5"","""",""5"",""4"",""4"",""1"",""1"",""1"",""1"",""1"",""3"",""1"",""1"",""1"",""1"",""1"",""4"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""","""","""","""",""1"",""1"","""","""","""","""","""","""","""","""","""","""",""1"",""1"","""","""","""","""","""","""","""",""1"",""1"",""1"",""1"",""1"",""3"",""1"",""1"",""暂无"","
"100,""25-Oct-2019 21:42:15"",""25-Oct-2019 21:47:08"",""293"","""",""o86_0jmXaLl69kosGDxd0VibaPBY___方圆"","""",""1"",""1"",""4"","""",""3"","""",""5"","""",""1"",""1"",""1"",""1"",""1"","""","""","""","""",""1"","""",""1"","""","""","""","""",""1"","""",""6"","""",""2"",""5"",""5"",""1"",""5"",""2"",""1"",""1"",""1"",""1"",""1"",""5"",""1"",""1"",""5"",""1"",""1"",""1"",""2"",""1"",""1"",""1"","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""1"",""1"",""1"",""1"",""1"",""5"",""2"",""2"",""没啥的，警察也不是随时有时间来管的，大家都想早点下班回家，随着技术的进步，这项技术会越来越容易出现，还不如让国家握着。"","
"101,""25-Oct-2019 21:41:21"",""25-Oct-2019 21:47:24"",""363"","""",""o86_0jizOCvBKgO1I8E2DGsEOyGE___施雪仙"","""",""1"",""2"",""3"","""",""3"","""",""7"","""",""2"",""1"",""1"","""",""1"","""","""","""","""",""1"","""",""1"","""","""","""","""",""7"","""",""3"","""",""2"",""1"",""2"",""1"",""2"",""3"",""2"",""1"",""4"",""3"",""2"",""2"",""1"",""1"",""3"",""1"",""2"",""1"",""1"",""1"","""","""","""",""1"","""","""",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""3"",""1"",""1"",""1"",""1"",""2"",""2"",""2"",""现在不用人脸识别技术是因为觉得还不成熟，相关信息被泄露he被乱用的风险很大，以后种种问题都解决了，还是会用滴，毕竟科技让生活更美好(✪▽✪)"","
"102,""25-Oct-2019 21:55:24"",""25-Oct-2019 22:00:24"",""300"","""",""o86_0jj182EhqgAtjWIL1_N7ytpM___Silas"","""",""1"",""1"",""4"","""",""3"","""",""5"","""",""1"",""1"",""1"",""1"",""1"",""1"","""","""","""",""1"","""",""1"",""1"","""","""","""",""4"","""",""3"","""",""2"",""2"",""2"",""1"",""3"",""2"",""1"",""3"",""4"",""5"",""5"",""3"",""3"",""2"",""5"",""4"",""2"",""2"",""2"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""1"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""",""3"",""2"",""4"",""5"",""2"",""1"",""3"",""3"",""N/A"","
"103,""25-Oct-2019 22:04:54"",""25-Oct-2019 22:07:22"",""148"","""",""o86_0jnrvG-duFIOlogwvi2qLKLs___Zhang"","""",""1"",""1"",""4"","""",""3"","""",""1"","""",""3"",""1"",""1"",""1"",""1"",""1"","""","""","""",""1"","""",""1"",""1"","""","""","""",""8"",""好玩"",""7"","""",""2"",""1"",""1"",""1"",""1"",""3"",""1"",""2"",""2"",""4"",""4"",""4"",""1"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""无"","
