"Series number,""Start time"",""End time"",""Answer duration"",""User ID"",""WeChat ID"",""User-defined field"",""1.Age"",""2.Gender"",""3.Education"",""3.Education (Other)"",""4.Country"",""4.Country (Other)"",""5.Work"",""5.Work (Other)"",""6.FR concept"",""7.sources: prinnt media "",""7.sources: Internet"",""7.sources: scientific paper"",""7.sources: conversations"",""7.sources: class"",""7.sources: (Other)"",""7.sources: (Other)"",""8.unlock: Swipe"",""8.unlock: Passwords"",""8.unlock: Pattern"",""8.unlock: Finger prints"",""8.unlock: FaceID"",""8.unlock: Nothing"",""8.unlock: (Other)"",""8.unlock: (Other)"",""9.Use FaceID"",""9.Use FaceID (Other)"",""10.Not use FaceID (Other)"",""11.FR using status"",""12.Opinions of statement"",""13.Attitudes of statement"",""14.(1)Policing investigation"",""14.(2) Daily policing"",""14.(3) Smartphone"",""14.(4) Airport"",""14.(5) Supermarket: buy alcohol"",""14.(6) Supermarket: track shopper "",""14.(7) School: student attendance"",""14.(8) School: student behaviour"",""14.(10) Public transport: ticket barriers"",""14.(11) Public transport: indentify people for police"",""14.(12) At work: high risk area"",""14.(13) At work: monitor people"",""14.(14) Massive events"",""14.(15) Apartment building"",""15.Attitudes for police using FRT"",""16.Opinions for police using FR"",""17.Agree: society"",""17.Agree: personal security"",""17.Agree: security system"",""17.Agree: opt out or consent"",""17.Agree: ethical"",""17.Agree: not misused or hacked"",""17.Agree: indiscriminate"",""17.Agree: accurate"",""17.Agree: reliable"",""17.Agree: no effect"",""17.Agree: I do not know"",""17.Agree: none"",""17.Agree: (Other)"",""17.Agree: (Other)"",""18.Disagree: privacy"",""18.Disagree: normalization"",""18.Disagree: no opt out or consent"",""18.Disagree: not ethical"",""18.Disagree: personal privacy"",""18.Disagree: misused or hacked"",""18.Disagree: discriminate"",""18.Disagree: not accurate"",""18.Disagree: not reliable"",""18.Disagree: personal effect"",""18.Disagree: I do not know"",""18.Disagree: none"",""18.Disagree: (Other)"",""18.Disagree: (Other)"",""19.Feel safer"",""20.Identify criminals"",""21.Prevent crimes"",""22.Deter terrorists"",""23.Crime evidence"",""24.No notifying"",""25.Attitudes now"",""26.Future"",""27.Comments"","
"21,""24-Oct-2019 17:07:36"",""24-Oct-2019 17:15:35"",""479"","""",""o86_0jjTKv8OfhaUACgsDMVwdwkI___鑫蕊鑫杰"","""",""2"",""2"",""3"","""",""3"","""",""13"","""",""4"",""1"",""1"","""","""","""","""","""","""",""1"",""1"",""1"","""","""","""","""",""2"","""",""6"","""",""2"",""3"",""4"",""3"",""3"",""3"",""2"",""4"",""2"",""2"",""2"",""2"",""2"",""2"",""3"",""3"",""2"",""3"",""2"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""",""3"",""3"",""2"",""2"",""2"",""4"",""2"",""2"",""希望技术越来越先进"","
"22,""24-Oct-2019 17:10:29"",""24-Oct-2019 17:19:59"",""570"","""",""o86_0jlBPD0pYNWZCMH_HWgdHoEA___海洋一颗星"","""",""2"",""2"",""1"","""",""3"","""",""10"","""",""2"","""",""1"","""","""","""","""","""","""",""1"",""1"","""","""","""","""","""",""5"","""",""3"","""",""3"",""3"",""5"",""2"",""2"",""3"",""2"",""2"",""3"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""3"",""2"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""1"",""2"",""2"",""2"",""2"",""3"",""2"",""3"",""人脸识别技术要精确"","
"23,""24-Oct-2019 17:16:43"",""24-Oct-2019 17:20:46"",""243"","""",""o86_0jpr8R6h2GkMv77NWs_9iaFM___大白"","""",""2"",""2"",""6"",""中专"",""3"","""",""1"","""",""5"","""","""","""",""1"","""","""","""","""","""","""",""1"","""","""","""","""",""3"","""",""4"","""",""4"",""2"",""3"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"","""","""","""","""",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""我同意用人脸识别"","
"24,""24-Oct-2019 17:19:56"",""24-Oct-2019 17:28:19"",""503"","""",""o86_0jmEVcVoJxQFjlIy2y6y0wpE___蓝蓝的天"","""",""2"",""2"",""1"","""",""3"","""",""10"","""",""2"","""",""1"","""","""","""","""","""","""","""","""",""1"","""","""","""","""",""3"","""",""7"","""",""4"",""3"",""3"",""1"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""3"",""2"",""2"",""2"",""2"",""1"",""1"",""1"","""",""1"","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""",""1"",""1"","""","""","""","""","""",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""人脸识别技术对警察破案还是很有利的"","
"25,""24-Oct-2019 17:23:14"",""24-Oct-2019 17:31:48"",""514"","""",""o86_0jrmN8h72vuS7KBTjIou0NYA___善则美"","""",""3"",""3"",""1"","""",""3"","""",""12"","""",""3"","""",""1"","""","""","""","""","""","""","""","""",""1"","""","""","""","""",""3"","""",""8"","""",""5"",""4"",""2"",""3"",""3"",""3"",""2"",""3"",""3"",""2"",""3"",""2"",""2"",""3"",""3"",""3"",""3"",""3"",""3"","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""1"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""多了很多见识"","
"26,""24-Oct-2019 17:25:12"",""24-Oct-2019 17:32:20"",""428"","""",""o86_0jgVxKEQ3d8vznE3djuXn9Gk___陪你去看雪"","""",""2"",""1"",""3"","""",""3"","""",""2"","""",""2"","""",""1"","""","""","""","""","""","""",""1"","""",""1"","""","""","""","""",""3"","""",""5"","""",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""3"",""4"",""3"",""3"",""2"",""2"",""2"",""4"",""2"",""3"",""1"",""2"",""1"",""1"",""1"","""","""","""",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""",""1"",""1"","""","""","""","""","""","""","""",""1"",""2"",""2"",""2"",""2"",""3"",""2"",""1"",""有些特殊的场所同意使用人脸识别技术。"","
"27,""24-Oct-2019 17:26:32"",""24-Oct-2019 17:33:48"",""436"","""",""o86_0juDJG-6OIvE5u9OkcDlx-oY___静静"","""",""1"",""2"",""3"","""",""3"","""",""5"","""",""2"","""","""","""",""1"","""","""","""","""",""1"","""","""","""","""","""","""",""4"","""",""3"","""",""5"",""2"",""4"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""3"",""2"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""无"","
"28,""24-Oct-2019 17:27:19"",""24-Oct-2019 17:35:54"",""515"","""",""o86_0jqY_Q-PaqhMVDsfAf2-0drw___A丽丽"","""",""1"",""2"",""2"","""",""3"","""",""10"","""",""4"","""",""1"","""",""1"","""","""","""","""",""1"","""",""1"",""1"","""","""","""",""4"","""",""8"","""",""5"",""3"",""3"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""1"",""2"",""3"",""2"",""2"",""2"",""2"",""1"",""人脸识别技术更方便更安全"","
"29,""24-Oct-2019 17:28:21"",""24-Oct-2019 17:39:17"",""656"","""",""o86_0jv8eq9oDbfMTfDztlYl40Dk___北城浪子"","""",""1"",""1"",""3"","""",""3"","""",""2"","""",""2"","""",""1"","""","""","""","""","""",""1"","""","""","""","""","""","""","""",""3"","""",""8"","""",""2"",""3"",""5"",""3"",""4"",""2"",""2"",""4"",""4"",""2"",""4"",""2"",""2"",""3"",""4"",""2"",""2"",""2"",""2"",""1"","""","""","""",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""",""1"",""2"",""2"",""2"",""2"",""3"",""2"",""2"",""对于人间识别应用到警方 能更好的识别犯罪分子表示赞同  但希望不要有对个人心思不好的事"","
"30,""24-Oct-2019 17:32:30"",""24-Oct-2019 17:39:38"",""428"","""",""o86_0jlZrbwVcFfyn5xfAm1MURro___雪花猪"","""",""2"",""2"",""3"","""",""3"","""",""9"","""",""4"",""1"",""1"","""",""1"",""1"","""","""",""1"",""1"",""1"","""","""","""","""","""",""5"","""",""1"","""",""2"",""1"",""4"",""1"",""2"",""3"",""1"",""3"",""4"",""2"",""4"",""2"",""1"",""2"",""4"",""2"",""4"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""","""",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""",""1"",""2"",""3"",""3"",""2"",""4"",""2"",""2"",""人脸识别系统希望能在不侵犯个人隐私的前提下有道德的被利用！"","
